Date,AMAN_gross_nav,AMAN_net_nav
2022-06-23,3405922.2157581365,1703693.600394448
2022-06-24,3402521.5311644003,1701857.3129536812
2022-06-27,3398720.6762536014,1699821.1510723666
2022-06-28,3393119.512776798,1696884.903463934
2022-06-29,3390519.168817186,1695449.8089000594
2022-06-30,3369914.823475978,1685011.9207175814
2022-07-01,3367114.2417375767,1683477.8534436475
2022-07-04,3367114.2417375767,1683344.2440901995
2022-07-05,3295698.9495475627,1647507.514286213
2022-07-06,3243487.8644498135,1621276.6345753304
2022-07-07,3245288.1730158185,1622047.8567344656
2022-07-08,3246688.6165052773,1622619.08723049
2022-07-11,3229284.7179790167,1613792.2462274167
2022-07-12,3217282.3556318027,1607666.1459392288
2022-07-13,3232685.7078132695,1615235.5613278404
2022-07-14,3187275.9919029935,1592418.064274616
2022-07-15,3180874.4877920663,1589093.3800123944
2022-07-18,3183875.3073092573,1590466.4034549615
2022-07-19,3191476.711890338,1594137.365688466
2022-07-20,3161470.348161529,1579022.717545914
2022-07-21,3206080.028678197,1601178.0750567154
2022-07-22,3214081.6035763393,1605047.1379454308
2022-07-25,3205279.6880440726,1600524.2552291853
2022-07-26,3201478.833133274,1598499.3107270452
2022-07-27,3234085.8460622127,1614653.1367231535
2022-07-28,3273494.2281786236,1634200.0603878645
2022-07-29,3282696.314027952,1638664.2448986575
2022-08-01,3301300.113024366,1647820.8813285166
2022-08-02,3281696.0408555553,1637904.8662672623
2022-08-03,3289697.615753698,1641768.4851393593
2022-08-04,3321466.4724379373,1656507.8063964965
2022-08-05,3277703.121833972,1634550.336113323
2022-08-08,3300389.4794405354,1645734.018119136
2022-08-09,3298537.197603764,1644679.7668863158
2022-08-10,3296366.3469907655,1643466.8314657323
2022-08-11,3279757.553722584,1635055.7643190278
2022-08-12,3299638.8629839523,1644837.4163716056
2022-08-15,3288958.344092197,1639382.7404343516
2022-08-16,3284379.055313958,1636970.0821773463
2022-08-17,3262600.700219439,1625985.595936622
2022-08-18,3262980.8735398375,1626046.0168212207
2022-08-19,3236570.022109424,1612755.6074441688
2022-08-22,3219449.9171782476,1604096.806739709
2022-08-23,3223719.886668079,1606097.0175736116
2022-08-24,3221061.0449767015,1604644.8818243917
2022-08-25,3237390.741907227,1612652.5393011963
2022-08-26,3219371.1020115376,1603548.3660605117
2022-08-29,3209179.5215653656,1598344.7386135408
2022-08-30,3197903.780972733,1592601.9580066958
2022-08-31,3180070.547718318,1583594.3550410448
2022-09-01,3153721.641142213,1570347.5867692702
2022-09-02,3175429.4910909743,1581032.0487756012
2022-09-05,3175429.4910909743,1580906.5700415713
2022-09-06,3146783.5847936417,1566519.5654338356
2022-09-07,3171929.7106597032,1578913.385062311
2022-09-08,3157276.0922176735,1571493.8414987233
2022-09-09,3164139.1155040557,1574785.101932683
2022-09-12,3165983.4832910397,1575578.0567927775
2022-09-13,3138808.925179095,1561929.3656750985
2022-09-14,3134930.382507867,1559875.3684697745
2022-09-15,3105043.6103885365,1544880.5401433415
2022-09-16,3113447.1762457904,1548939.0329989446
2022-09-19,3109105.7156979204,1546656.226013923
2022-09-20,3090444.4875543467,1537250.2579863423
2022-09-21,3103579.147155323,1543661.7021606448
2022-09-22,3074791.197155533,1529220.6062360262
2022-09-23,3055831.379366569,1519669.7393717114
2022-09-26,3011122.792044246,1497315.4800418043
2022-09-27,3001257.508139286,1492291.0194639356
2022-09-28,3066774.311780366,1524748.9745423712
2022-09-29,3057973.179623362,1520252.1867841124
2022-09-30,3053286.308076242,1517801.4830548428
2022-10-03,3104718.0386764836,1543247.9525124445
2022-10-04,3126354.934719458,1553880.425172487
2022-10-05,3101663.940808954,1541485.0295661876
2022-10-06,3090015.4904364725,1535573.56719093
2022-10-07,3067359.447862286,1524192.8465286994
2022-10-10,3037884.007140214,1509425.3215476663
2022-10-11,3040004.559989952,1510359.1593240362
2022-10-12,3052467.5557185323,1516431.2538639547
2022-10-13,3036319.4365335233,1508288.699753598
2022-10-14,3011004.032524774,1495593.592208601
2022-10-17,3016384.0505950656,1498147.1991120826
2022-10-18,3023581.6679239846,1501603.1385016614
2022-10-19,2988395.9502179096,1484009.6600119676
2022-10-20,2973099.4778705863,1476295.7954381998
2022-10-21,2998331.666192522,1488707.6997961486
2022-10-24,2992124.1484038625,1485507.4412206728
2022-10-25,3017238.387031082,1497858.0733545972
2022-10-26,3034144.98054797,1506132.1943409888
2022-10-27,3045150.7158772955,1511475.844036714
2022-10-28,3023322.2347474117,1500521.2094517944
2022-10-31,3005228.686407532,1491422.0148314028
2022-11-01,3017167.8297035843,1497228.7548795554
2022-11-02,3005678.547699107,1491408.5262971825
2022-11-03,2993239.060467716,1485117.724924596
2022-11-04,3026154.3955003433,1501331.0456545057
2022-11-07,3014944.647022863,1495650.5292925583
2022-11-08,3054849.738017056,1515327.901907284
2022-11-09,3054978.2838667436,1515271.401681373
2022-11-10,3133311.8293372216,1554004.6363151835
2022-11-11,3137681.0434283367,1556048.268215931
2022-11-14,3135913.971291634,1555048.440565764
2022-11-15,3154283.0367174195,1564033.9430833082
2022-11-16,3165321.6900586425,1569383.2691195102
2022-11-17,3143215.433097138,1558298.3155342257
2022-11-18,3127900.841302638,1550582.1921523367
2022-11-21,3119735.802600595,1546411.5070024137
2022-11-22,3131916.9378508995,1552326.8025170784
2022-11-23,3149837.126032418,1561085.6984607028
2022-11-24,3149837.126032418,1560961.8027703487
2022-11-25,3150335.45804256,1561084.8748355084
2022-11-28,3141154.9454808095,1556411.762311477
2022-11-29,3139408.451872273,1555422.8669508426
